animals,month,unit,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 	1972 	1971 	1970 	1969 
A3100,M04,THS_HD,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3512.0 	3749.7 	3623.8 	3519.8 	3684.2 	3680.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A3100,M04,THS_HD,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6516.0 	6706.4 	7287.7 	7511.6 	7460.3 	6916.5 	7225.4 	6956.2 	7114.7 	7036.9 	6729.5 	6511.9 	6757.0 	6345.0 	6413.0 	5652.0 	5595.4 	5646.0 	5377.0 	5256.6 	5122.0 	4973.1 	5142.1 	5060.0 	5119.0 	4987.0 	4979.0 	4803.0 	5285.0 	4653.0 	0.0 	0.0 	0.0 	0.0 
A3100,M04,THS_HD,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2285.0 	: 	1998.0 	2711.0 	3197.0 	4120.0 	4399.0 	4324.0 	4219.0 	4232.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A3100,M04,THS_HD,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2433.0 	2830.4 	2840.0 	2877.0 	3126.0 	3363.0 	3458.0 	3315.0 	3565.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A3100,M04,THS_HD,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25212.5 	24416.7 	23552.1 	24515.9 	25435.7 	26335.3 	26159.9 	27376.6 	28719.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A3100,M04,THS_HD,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12186.0 p	13599.0 	12615.0 	13125.0 	13119.0 	12624.0 	12921.0 	12686.0 	11695.0 	11610.0 	11365.0 	10965.0 	10602.0 	10727.0 	10429.0 	10435.0 	10137.0 	9489.0 	9269.0 	9353.0 	9055.0 	9160.0 	9417.0 	9278.0 	8699.0 	9413.0 	9306.0 	9697.0 	9683.0 	9279.0 	8528.0 	8047.0 	7969.0 	8105.0 	8167.0 	0.0 	: 	: 	: 	: 
A3100,M04,THS_HD,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	342.2 	371.7 	323.1 	278.1 	: 	330.4 	301.6 	401.8 	470.8 	447.5 	464.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A3100,M04,THS_HD,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	915.0 	1098.3 	1092.0 	983.0 	1063.2 	1095.5 	1151.0 	1169.0 	1143.3 	1068.2 	1101.7 	1057.2 	1195.0 	1120.2 	1323.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A3100,M04,THS_HD,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24639.4 	26804.4 	25066.4 	24997.8 	25060.4 	23175.1 	23114.2 	21743.0 	22760.3 	20626.0 	20067.0 	18828.0 	17944.0 	18599.0 	18368.0 	18204.1 	17444.2 	15948.9 	16443.4 	16096.5 	16722.5 	16122.0 	14370.7 	11329.7 	11935.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A3100,M04,THS_HD,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1529.7 	1556.2 	1456.9 	1454.8 	1231.4 	1234.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
